"Seed","Imputation","Sensitivity_Observed","Specificity_Observed","Sensitivity_Forecast","Specificity_Forecast","Sensitivity_Overall","Specificity_Overall"
85,1,0.657894736842105,0.985169491525424,0.894505494505495,0.959322033898305,0.815519765739385,0.97522816166884
86,1,0.596491228070175,0.988657844990548,0.86,0.962857142857143,0.781085814360771,0.978384527872582
87,1,0.555555555555556,0.998284734133791,0.789333333333333,0.989333333333333,0.733739837398374,0.994780793319415
88,1,0.421052631578947,0.99504132231405,0.802919708029197,0.993697478991597,0.704607046070461,0.994449583718779
89,1,0.659420289855073,0.983985765124555,0.75,0.991620111731844,0.726415094339623,0.98695652173913
90,1,0.546099290780142,0.985688729874776,0.879365079365079,0.983908045977012,0.776315789473684,0.984909456740443
91,1,0.592814371257485,0.99249530956848,0.846994535519126,0.966145833333333,0.767354596622889,0.981461286804798
92,1,0.572093023255814,0.987628865979381,0.918181818181818,0.996774193548387,0.804580152671756,0.991194968553459
93,1,0.541353383458647,0.987654320987654,0.829113924050633,0.990783410138249,0.743875278396437,0.989010989010989
94,1,0.431192660550459,0.986463620981388,0.821808510638298,0.983957219251337,0.734020618556701,0.985492227979275
95,1,0.548717948717949,0.974257425742574,0.853717026378897,0.981981981981982,0.756535947712418,0.977326968973747
96,1,0.643776824034335,0.970021413276231,0.899782135076253,0.993127147766323,0.813583815028902,0.978891820580475
97,1,0.459183673469388,0.973421926910299,0.714285714285714,0.979310344827586,0.653753026634383,0.975891996142719
98,1,0.575342465753425,0.98014440433213,0.8328611898017,0.972292191435768,0.75751503006012,0.976866456361725
99,1,0.591463414634146,0.986940298507463,0.864788732394366,0.972151898734177,0.778420038535645,0.980665950590763
100,1,0.593220338983051,0.994263862332696,0.865168539325843,0.99238578680203,0.774859287054409,0.993456924754635
